Date,HE,Area,MW,,,
1/1/23,1,RTO,6117.732,,,
1/1/23,2,RTO,6556.513,,,
1/1/23,3,RTO,5901.861,,,
1/1/23,4,RTO,5294.705,,,
1/1/23,5,RTO,4776.355,,,
1/1/23,6,RTO,4703.201,,,
1/1/23,7,RTO,4412.105,,,
1/1/23,8,RTO,3699.525,,,
1/1/23,9,RTO,2929.649,,,
1/1/23,10,RTO,2365.1,,,
1/1/23,11,RTO,1880.037,,,
1/1/23,12,RTO,1540.548,,,
1/1/23,13,RTO,1370.936,,,
1/1/23,14,RTO,1366.648,,,
1/1/23,15,RTO,1276.595,,,
1/1/23,16,RTO,1149.783,,,
1/1/23,17,RTO,1017.93,,,
1/1/23,18,RTO,1106.978,,,
1/1/23,19,RTO,1324.457,,,
1/1/23,20,RTO,1400.471,,,
1/1/23,21,RTO,1393.393,,,
1/1/23,22,RTO,1562.591,,,
1/1/23,23,RTO,1615.853,,,
1/1/23,24,RTO,1426.339,,,
1/2/23,1,RTO,1128.557,,,
1/2/23,2,RTO,1029.465,,,
1/2/23,3,RTO,1094.873,,,
1/2/23,4,RTO,1344.397,,,
1/2/23,5,RTO,1439.889,,,
1/2/23,6,RTO,1173.596,,,
1/2/23,7,RTO,1229.209,,,
1/2/23,8,RTO,1289.52,,,
1/2/23,9,RTO,1116.647,,,
1/2/23,10,RTO,1154.251,,,
1/2/23,11,RTO,1119.621,,,
1/2/23,14,RTO,448.033,,,
1/2/23,15,RTO,406.282,,,
1/2/23,16,RTO,602.041,,,
1/2/23,17,RTO,1093.395,,,
1/2/23,18,RTO,1636.88,,,
1/2/23,19,RTO,2113.379,,,
1/2/23,20,RTO,2484.431,,,
1/2/23,21,RTO,2394.367,,,
1/2/23,23,RTO,3343.14,,,
1/2/23,24,RTO,3927.344,,,
1/3/23,1,RTO,4175.561,,,
1/3/23,2,RTO,4161.53,,,
1/3/23,3,RTO,3880.882,,,
1/3/23,4,RTO,3860.629,,,
1/3/23,6,RTO,3756.781,,,
1/3/23,7,RTO,3537.987,,,
1/3/23,8,RTO,3712.289,,,
1/3/23,9,RTO,4069.413,,,
1/3/23,10,RTO,4592.807,,,
1/3/23,11,RTO,4807.195,,,
1/3/23,12,RTO,4776.02,,,
1/3/23,13,RTO,4988.151,,,
1/3/23,14,RTO,5113.975,,,
1/3/23,15,RTO,5260.918,,,
1/3/23,16,RTO,4357.679,,,
1/3/23,17,RTO,3566.101,,,
1/3/23,18,RTO,3988.201,,,
1/3/23,19,RTO,4833.65,,,
1/3/23,20,RTO,5800.726,,,
1/3/23,21,RTO,6536.155,,,
1/3/23,22,RTO,7067.184,,,
1/3/23,23,RTO,6948.435,,,
1/3/23,24,RTO,6511.737,,,
1/4/23,1,RTO,6043.822,,,
1/4/23,2,RTO,5270.541,,,
1/4/23,3,RTO,4235.543,,,
1/4/23,4,RTO,3465.491,,,
1/4/23,5,RTO,3332.836,,,
1/4/23,6,RTO,2796.779,,,
1/4/23,8,RTO,2230.365,,,
1/4/23,9,RTO,2050.205,,,
1/4/23,10,RTO,2386.214,,,
1/4/23,11,RTO,2521.832,,,
1/4/23,12,RTO,3413.796,,,
1/4/23,13,RTO,4115.292,,,
1/4/23,14,RTO,4593.408,,,
1/4/23,15,RTO,5183.834,,,
1/4/23,16,RTO,5100.604,,,
1/4/23,17,RTO,4520.585,,,
1/4/23,18,RTO,4465.737,,,
1/4/23,19,RTO,4274.577,,,
1/4/23,20,RTO,4256.68,,,
1/4/23,21,RTO,3892.067,,,
1/4/23,22,RTO,4124.412,,,
1/4/23,23,RTO,4910.734,,,
1/4/23,24,RTO,4991.852,,,
1/5/23,1,RTO,4571.735,,,
1/5/23,2,RTO,3732.61,,,
1/5/23,3,RTO,3086.866,,,
1/5/23,4,RTO,3005.689,,,
1/5/23,5,RTO,2789.36,,,
1/5/23,6,RTO,2600.059,,,
1/5/23,7,RTO,2435.03,,,
1/5/23,8,RTO,2669.243,,,
1/5/23,9,RTO,2645.119,,,
1/5/23,10,RTO,2756.948,,,
1/5/23,11,RTO,3145.327,,,
1/5/23,12,RTO,3733.642,,,
1/5/23,13,RTO,4158.196,,,
1/5/23,14,RTO,4685.189,,,
1/5/23,15,RTO,5046.366,,,
1/5/23,16,RTO,5528.062,,,
1/5/23,17,RTO,5441.886,,,
1/5/23,18,RTO,5229.722,,,
1/5/23,19,RTO,5176.755,,,
1/5/23,20,RTO,5365.164,,,
1/5/23,21,RTO,5669.472,,,
1/5/23,22,RTO,6086.38,,,
1/5/23,23,RTO,5809.179,,,
1/5/23,24,RTO,5191.7,,,
1/6/23,1,RTO,5476.343,,,
1/6/23,2,RTO,5688.379,,,
1/6/23,3,RTO,4704.225,,,
1/6/23,4,RTO,4004.654,,,
1/6/23,5,RTO,3896.623,,,
1/6/23,7,RTO,3063.194,,,
1/6/23,8,RTO,2558.134,,,
1/6/23,9,RTO,2024.605,,,
1/6/23,10,RTO,1935.085,,,
1/6/23,11,RTO,2132.08,,,
1/6/23,12,RTO,2394.984,,,
1/6/23,13,RTO,2503.556,,,
1/6/23,14,RTO,2362.338,,,
1/6/23,15,RTO,1931.208,,,
1/6/23,16,RTO,1696.058,,,
1/6/23,17,RTO,1435.318,,,
1/6/23,18,RTO,1328.053,,,
1/6/23,19,RTO,1334.763,,,
1/6/23,20,RTO,1142.166,,,
1/6/23,21,RTO,918.78,,,
1/6/23,22,RTO,953.581,,,
1/6/23,23,RTO,927.576,,,
1/6/23,24,RTO,660.157,,,
1/7/23,1,RTO,637.487,,,
1/7/23,2,RTO,667.265,,,
1/7/23,3,RTO,741.746,,,
1/7/23,4,RTO,1197.082,,,
1/7/23,5,RTO,1287.127,,,
1/7/23,6,RTO,1328.5,,,
1/7/23,7,RTO,1446.247,,,
1/7/23,8,RTO,1704.868,,,
1/7/23,9,RTO,1747.511,,,
1/7/23,10,RTO,1777.045,,,
1/7/23,11,RTO,1618.332,,,
1/7/23,12,RTO,1537.467,,,
1/7/23,13,RTO,1250.79,,,
1/7/23,14,RTO,1159.342,,,
1/7/23,15,RTO,1151.374,,,
1/7/23,16,RTO,1144.293,,,
1/7/23,17,RTO,1181.159,,,
1/7/23,18,RTO,1386.273,,,
1/7/23,19,RTO,1597.807,,,
1/7/23,20,RTO,1493.791,,,
1/7/23,21,RTO,1305.698,,,
1/7/23,22,RTO,1322.828,,,
1/7/23,23,RTO,1238.775,,,
1/7/23,24,RTO,1325.082,,,
1/8/23,1,RTO,1017.753,,,
1/8/23,2,RTO,750.663,,,
1/8/23,3,RTO,829.031,,,
1/8/23,4,RTO,1021.593,,,
1/8/23,5,RTO,955.907,,,
1/8/23,6,RTO,1000.922,,,
1/8/23,7,RTO,882.735,,,
1/8/23,8,RTO,854.997,,,
1/8/23,9,RTO,813.27,,,
1/8/23,10,RTO,543.045,,,
1/8/23,11,RTO,357.981,,,
1/8/23,12,RTO,292.703,,,
1/8/23,13,RTO,282.704,,,
1/8/23,14,RTO,397.287,,,
1/8/23,15,RTO,484.262,,,
1/8/23,16,RTO,585.099,,,
1/8/23,17,RTO,668.784,,,
1/8/23,18,RTO,702.7,,,
1/8/23,19,RTO,682.927,,,
1/8/23,20,RTO,831.448,,,
1/8/23,21,RTO,969.8,,,
1/8/23,22,RTO,902.601,,,
1/8/23,23,RTO,1042.662,,,
1/8/23,24,RTO,1066.508,,,
1/9/23,1,RTO,1323.262,,,
1/9/23,2,RTO,1945.252,,,
1/9/23,3,RTO,2317.738,,,
1/9/23,4,RTO,2565.203,,,
1/9/23,5,RTO,2468.016,,,
1/9/23,6,RTO,2575.873,,,
1/9/23,7,RTO,2676.782,,,
1/9/23,8,RTO,3132.648,,,
1/9/23,9,RTO,3553.878,,,
1/9/23,10,RTO,3467.051,,,
1/9/23,11,RTO,3168.13,,,
1/9/23,12,RTO,2848.527,,,
1/9/23,13,RTO,2683.048,,,
1/9/23,14,RTO,2848.187,,,
1/9/23,15,RTO,3233.292,,,
1/9/23,16,RTO,3553.322,,,
1/9/23,17,RTO,3823.91,,,
1/9/23,18,RTO,4556.344,,,
1/9/23,19,RTO,5430.196,,,
1/9/23,20,RTO,6268.013,,,
1/9/23,21,RTO,6930.6,,,
1/9/23,22,RTO,7289.375,,,
1/9/23,23,RTO,7474.397,,,
1/9/23,24,RTO,7501.572,,,
1/10/23,1,RTO,7587.872,,,
1/10/23,2,RTO,7594.266,,,
1/10/23,3,RTO,7050.516,,,
1/10/23,4,RTO,6369.349,,,
1/10/23,5,RTO,5729.355,,,
1/10/23,6,RTO,5066.729,,,
1/10/23,7,RTO,4170.736,,,
1/10/23,8,RTO,3034.141,,,
1/10/23,9,RTO,2292.872,,,
1/10/23,10,RTO,1544.047,,,
1/10/23,11,RTO,818.883,,,
1/10/23,12,RTO,461.135,,,
1/10/23,13,RTO,213.563,,,
1/10/23,14,RTO,184.571,,,
1/10/23,15,RTO,199.569,,,
1/10/23,16,RTO,292.075,,,
1/10/23,17,RTO,460.806,,,
1/10/23,18,RTO,582.257,,,
1/10/23,19,RTO,461.521,,,
1/10/23,20,RTO,425.27,,,
1/10/23,21,RTO,425.356,,,
1/10/23,22,RTO,527.684,,,
1/10/23,23,RTO,675.39,,,
1/10/23,24,RTO,828.26,,,
1/11/23,1,RTO,1111.852,,,
1/11/23,2,RTO,1177.078,,,
1/11/23,3,RTO,1082.804,,,
1/11/23,4,RTO,1361.878,,,
1/11/23,5,RTO,1436.128,,,
1/11/23,6,RTO,2615.359,,,
1/11/23,7,RTO,3536.047,,,
1/11/23,8,RTO,4064.534,,,
1/11/23,9,RTO,3467.11,,,
1/11/23,10,RTO,2667.53,,,
1/11/23,11,RTO,2068.852,,,
1/11/23,12,RTO,1616.58,,,
1/11/23,13,RTO,1387.356,,,
1/11/23,14,RTO,1144.104,,,
1/11/23,15,RTO,1398.182,,,
1/11/23,16,RTO,1607.492,,,
1/11/23,17,RTO,1878.854,,,
1/11/23,18,RTO,2011.247,,,
1/11/23,19,RTO,2207.496,,,
1/11/23,20,RTO,2327.714,,,
1/11/23,21,RTO,2414.861,,,
1/11/23,22,RTO,2363.682,,,
1/11/23,23,RTO,2223.555,,,
1/11/23,24,RTO,2049.216,,,
1/12/23,1,RTO,2108.651,,,
1/12/23,2,RTO,2193.932,,,
1/12/23,3,RTO,2666.926,,,
1/12/23,4,RTO,3311.928,,,
1/12/23,5,RTO,4339.782,,,
1/12/23,6,RTO,4392.426,,,
1/12/23,7,RTO,5000.791,,,
1/12/23,8,RTO,6063.746,,,
1/12/23,9,RTO,6761.004,,,
1/12/23,10,RTO,7153.775,,,
1/12/23,11,RTO,7604.376,,,
1/12/23,12,RTO,8046.387,,,
1/12/23,13,RTO,8198.709,,,
1/12/23,14,RTO,8421.772,,,
1/12/23,15,RTO,8647.933,,,
1/12/23,16,RTO,8625.992,,,
1/12/23,17,RTO,8171.376,,,
1/12/23,18,RTO,7642.39,,,
1/12/23,19,RTO,7506.981,,,
1/12/23,20,RTO,7257.598,,,
1/12/23,21,RTO,7084.88,,,
1/12/23,22,RTO,7097.679,,,
1/12/23,23,RTO,7098.136,,,
1/12/23,24,RTO,6714.923,,,
1/13/23,1,RTO,6456.339,,,
1/13/23,2,RTO,6835.009,,,
1/13/23,3,RTO,7052.119,,,
1/13/23,4,RTO,6994.358,,,
1/13/23,5,RTO,7236.976,,,
1/13/23,6,RTO,7372.606,,,
1/13/23,7,RTO,7089.152,,,
1/13/23,8,RTO,7138.033,,,
1/13/23,9,RTO,7134.823,,,
1/13/23,10,RTO,6893.575,,,
1/13/23,11,RTO,6754.804,,,
1/13/23,12,RTO,6525.246,,,
1/13/23,13,RTO,6368.166,,,
1/13/23,14,RTO,6528.914,,,
1/13/23,15,RTO,6212.532,,,
1/13/23,16,RTO,6015.425,,,
1/13/23,17,RTO,5788.233,,,
1/13/23,18,RTO,5424.655,,,
1/13/23,19,RTO,5155.94,,,
1/13/23,20,RTO,4906.253,,,
1/13/23,21,RTO,4598.258,,,
1/13/23,22,RTO,4065.494,,,
1/13/23,23,RTO,3651.302,,,
1/13/23,24,RTO,3078.117,,,
1/14/23,1,RTO,2519.27,,,
1/14/23,2,RTO,2533.241,,,
1/14/23,3,RTO,2504.092,,,
1/14/23,4,RTO,2288.711,,,
1/14/23,5,RTO,2165.375,,,
1/14/23,6,RTO,1906.273,,,
1/14/23,7,RTO,1899.323,,,
1/14/23,8,RTO,1781.062,,,
1/14/23,9,RTO,1680.108,,,
1/14/23,10,RTO,1566.348,,,
1/14/23,11,RTO,1576.127,,,
1/14/23,12,RTO,1578.566,,,
1/14/23,13,RTO,1699.112,,,
1/14/23,14,RTO,1863.59,,,
1/14/23,15,RTO,1873.964,,,
1/14/23,16,RTO,1921.917,,,
1/14/23,17,RTO,2104.304,,,
1/14/23,18,RTO,2469.729,,,
1/14/23,19,RTO,2954.671,,,
1/14/23,20,RTO,3602.884,,,
1/14/23,21,RTO,4001.854,,,
1/14/23,22,RTO,3916.362,,,
1/14/23,23,RTO,4116.197,,,
1/14/23,24,RTO,4409.831,,,
1/15/23,1,RTO,4710.504,,,
1/15/23,2,RTO,4768.401,,,
1/15/23,3,RTO,4915.301,,,
1/15/23,4,RTO,4816.743,,,
1/15/23,5,RTO,4979.965,,,
1/15/23,6,RTO,5263.788,,,
1/15/23,7,RTO,5365.175,,,
1/15/23,8,RTO,5914.507,,,
1/15/23,9,RTO,6198.049,,,
1/15/23,10,RTO,6489.302,,,
