Date,HE,MW
1/1/23,1,5898.113443
1/1/23,2,6056.121206
1/1/23,3,5191.992898
1/1/23,4,4851.371052
1/1/23,5,5371.115128
1/1/23,6,5031.963683
1/1/23,7,4502.934852
1/1/23,8,3524.142516
1/1/23,9,2979.631141
1/1/23,10,2437.000598
1/1/23,11,-81.46832542
1/1/23,12,2564.087776
1/1/23,13,2158.273359
1/1/23,14,1455.641748
1/1/23,15,-160.335623
1/1/23,16,199.5753984
1/1/23,17,1110.947866
1/1/23,18,1108.324992
1/1/23,19,596.2504671
1/1/23,20,-179.7113763
1/1/23,21,717.0180317
1/1/23,22,587.9097546
1/1/23,23,1050.9319
1/1/23,24,1116.548069
1/2/23,1,-65.73085403
1/2/23,2,568.2137355
1/2/23,3,625.9311701
1/2/23,4,1411.512088
1/2/23,5,1034.621445
1/2/23,6,666.5541553
1/2/23,7,890.7204401
1/2/23,8,3054.173488
1/2/23,9,428.446905
1/2/23,10,589.8370741
1/2/23,11,1103.859371
1/2/23,13,588.3391763
1/2/23,14,-898.2645419
1/2/23,15,992.1523489
1/2/23,16,1088.953898
1/2/23,17,641.5020436
1/2/23,18,2051.712582
1/2/23,19,1579.707017
1/2/23,20,2449.355803
1/2/23,21,2316.962707
1/2/23,23,2660.767195
1/2/23,24,3679.1398
1/3/23,1,3372.498101
1/3/23,2,3603.082883
1/3/23,3,3813.144698
1/3/23,4,2797.437396
1/3/23,6,3258.549787
1/3/23,7,3087.020896
1/3/23,8,3445.376813
1/3/23,9,3901.302003
1/3/23,10,3047.459647
1/3/23,11,5285.187592
1/3/23,12,3716.411627
1/3/23,13,5475.180705
1/3/23,14,5181.862424
1/3/23,15,5786.065459
1/3/23,16,4643.763435
1/3/23,17,2292.026418
1/3/23,18,2817.047932
1/3/23,19,5728.71656
1/3/23,20,5165.27319
1/3/23,21,6173.313281
1/3/23,22,7713.255141
1/3/23,23,6807.07255
1/3/23,24,6975.282234
1/4/23,1,4705.602049
1/4/23,2,4700.996441
1/4/23,3,4435.116231
1/4/23,4,3412.888542
1/4/23,5,1361.463079
1/4/23,6,2845.661381
1/4/23,8,2559.731973
1/4/23,9,1749.333059
1/4/23,10,1472.058456
1/4/23,11,1505.942325
1/4/23,12,3128.481188
1/4/23,13,3768.602915
1/4/23,14,4419.704604
1/4/23,15,6223.028806
1/4/23,16,4914.755886
1/4/23,17,5062.08203
1/4/23,18,4675.243529
1/4/23,19,4457.903674
1/4/23,20,3012.90519
1/4/23,21,4510.077807
1/4/23,22,4254.317942
1/4/23,23,4656.389393
1/4/23,24,4892.726591
1/5/23,1,2984.302546
1/5/23,2,4396.825391
1/5/23,3,1876.263075
1/5/23,4,3748.414827
1/5/23,5,3809.045262
1/5/23,6,3015.322353
1/5/23,7,2830.825737
1/5/23,8,2084.446585
1/5/23,9,3398.69655
1/5/23,10,2612.630114
1/5/23,11,3545.314984
1/5/23,12,3698.208683
1/5/23,13,3898.793373
1/5/23,14,4318.771802
1/5/23,15,4052.689923
1/5/23,16,5750.303891
1/5/23,17,5412.098797
1/5/23,18,4368.770602
1/5/23,19,5348.936982
1/5/23,20,6195.550051
1/5/23,21,5724.22425
1/5/23,22,5569.004468
1/5/23,23,4837.323339
1/5/23,24,6129.779376
1/6/23,1,5394.486657
1/6/23,2,3594.270808
1/6/23,3,4962.063222
1/6/23,4,3989.897686
1/6/23,5,2330.907525
1/6/23,7,2355.641871
1/6/23,8,2805.975451
1/6/23,9,2243.17222
1/6/23,10,3118.116362
1/6/23,11,896.7793092
1/6/23,12,2461.23281
1/6/23,13,2623.703893
1/6/23,14,2657.60665
1/6/23,15,1796.157821
1/6/23,16,1805.181242
1/6/23,17,-208.3585997
1/6/23,18,2218.890141
1/6/23,19,998.5254556
1/6/23,20,-36.9046188
1/6/23,21,-137.3601089
1/6/23,22,659.8743373
1/6/23,23,-617.1505303
1/6/23,24,178.2149076
1/7/23,1,412.2215579
1/7/23,2,-4.13813724
1/7/23,3,-958.3912058
1/7/23,4,1105.544767
1/7/23,5,1285.723695
1/7/23,6,2288.675532
1/7/23,7,1149.601868
1/7/23,8,1053.105228
1/7/23,9,858.1137696
1/7/23,10,159.0780903
1/7/23,11,2124.076894
1/7/23,12,1483.839002
1/7/23,13,700.8402796
1/7/23,14,455.3799056
1/7/23,15,650.660782
1/7/23,16,905.6666224
1/7/23,17,1314.728595
1/7/23,18,1614.615639
1/7/23,19,1270.253565
1/7/23,20,1980.422818
1/7/23,21,-381.4325943
1/7/23,22,1101.258674
1/7/23,23,1273.09232
1/7/23,24,466.9597945
1/8/23,1,1121.527504
1/8/23,2,-532.142149
1/8/23,3,328.6951125
1/8/23,4,-357.9551442
1/8/23,5,1348.142637
1/8/23,6,1643.256193
1/8/23,7,943.7581531
1/8/23,8,-994.524666
1/8/23,9,660.7969518
1/8/23,10,-793.5110611
1/8/23,11,200.8364929
1/8/23,12,521.1164864
1/8/23,13,-676.2014747
1/8/23,14,-1021.912194
1/8/23,15,-75.5448175
1/8/23,16,-620.0545212
1/8/23,17,-195.1477481
1/8/23,18,891.703095
1/8/23,19,-609.7710132
1/8/23,20,857.5258722
